Experiment,Accuracy,Kappa,Dataset,DR Method,N Components,Model,Class,IoU Score
Salinas_Corr_15_li,92.19272478708272,0.9132933294352348,Salinas,Corr,15,li,Brocoli_green_weeds_1,0.9522150323544052
Salinas_Corr_15_paoletti,91.20434517541428,0.9022944566817508,Salinas,Corr,15,paoletti,Brocoli_green_weeds_1,0.9099502487562189
Salinas_Corr_30_mou,91.8010678194683,0.908803662681188,Salinas,Corr,30,mou,Brocoli_green_weeds_1,0.9502239920358387
Salinas_Corr_30_hamida,94.48354855992169,0.938743841136346,Salinas,Corr,30,hamida,Brocoli_green_weeds_1,0.9527127924340468
Salinas_Corr_30_li,92.9557168985202,0.921530158352926,Salinas,Corr,30,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_Corr_30_paoletti,92.22782611908588,0.9135957807303252,Salinas,Corr,30,paoletti,Brocoli_green_weeds_1,0.947237431557989
IndianPines_PCA_8_mou,91.97970533710604,0.9089563410760468,IndianPines,PCA,8,mou,Brocoli_green_weeds_1,0.5686274509803921
IndianPines_PCA_8_hamida,97.04361401112304,0.9663943907552924,IndianPines,PCA,8,hamida,Brocoli_green_weeds_1,1.0
IndianPines_PCA_8_li,97.27778319836082,0.96905806213163,IndianPines,PCA,8,li,Brocoli_green_weeds_1,1.0
IndianPines_PCA_8_paoletti,94.7383834439672,0.9401886940223206,IndianPines,PCA,8,paoletti,Brocoli_green_weeds_1,0.8043478260869565
IndianPines_PCA_15_mou,69.55800565908869,0.6521071147250533,IndianPines,PCA,15,mou,Brocoli_green_weeds_1,0.3125
IndianPines_PCA_15_hamida,96.7509025270758,0.9630684571415956,IndianPines,PCA,15,hamida,Brocoli_green_weeds_1,1.0
