Experiment,Accuracy,Kappa,Dataset,DR Method,N Components,Model,Class,IoU Score
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.5272727272727272
,,,,,,,Alfalfa,0.717391304347826
,,,,,,,Alfalfa,0.5434782608695652
,,,,,,,Alfalfa,0.45652173913043476
,,,,,,,Alfalfa,0.5294117647058824
,,,,,,,Alfalfa,0.8518518518518519
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.8260869565217391
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.9787234042553191
,,,,,,,Alfalfa,0.8541666666666666
,,,,,,,Alfalfa,0.9782608695652174
,,,,,,,Alfalfa,0.9130434782608695
,,,,,,,Alfalfa,0.3829787234042553
,,,,,,,Alfalfa,0.6304347826086957
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.9574468085106383
,,,,,,,Alfalfa,0.8260869565217391
,,,,,,,Alfalfa,0.7735849056603774
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.9782608695652174
,,,,,,,Alfalfa,0.875
,,,,,,,Alfalfa,0.5416666666666666
,,,,,,,Alfalfa,0.6956521739130435
,,,,,,,Alfalfa,0.45652173913043476
,,,,,,,Alfalfa,0.4117647058823529
,,,,,,,Alfalfa,0.6086956521739131
,,,,,,,Alfalfa,0.4897959183673469
,,,,,,,Alfalfa,0.7843137254901961
,,,,,,,Alfalfa,0.6938775510204082
,,,,,,,Alfalfa,0.82
,,,,,,,Alfalfa,0.9130434782608695
,,,,,,,Alfalfa,0.5217391304347826
,,,,,,,Alfalfa,0.7636363636363637
,,,,,,,Alfalfa,0.7719298245614035
,,,,,,,Alfalfa,0.9565217391304348
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.86
,,,,,,,Alfalfa,0.9148936170212766
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.9583333333333334
,,,,,,,Alfalfa,0.8181818181818182
,,,,,,,Alfalfa,0.7659574468085106
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.9782608695652174
,,,,,,,Alfalfa,0.7115384615384616
IndianPines_PCA_8_mou,92.78602108551348,0.9178804271775152,IndianPines,PCA,8.0,mou,Corn-notill,
IndianPines_PCA_8_hamida,97.12026552128076,0.9672566855231628,IndianPines,PCA,8.0,hamida,Corn-notill,
IndianPines_PCA_8_li,97.39359625146427,0.9703704852790824,IndianPines,PCA,8.0,li,Corn-notill,
IndianPines_PCA_8_paoletti,95.6169465052714,0.9502035792986734,IndianPines,PCA,8.0,paoletti,Corn-notill,
IndianPines_PCA_15_mou,80.53494728621632,0.7786321758651745,IndianPines,PCA,15.0,mou,Corn-notill,
IndianPines_PCA_15_hamida,96.90550566185084,0.9648032850504292,IndianPines,PCA,15.0,hamida,Corn-notill,
IndianPines_PCA_15_li,91.1265130808278,0.8991052163756731,IndianPines,PCA,15.0,li,Corn-notill,
IndianPines_PCA_15_paoletti,66.17532213978915,0.6115922014108471,IndianPines,PCA,15.0,paoletti,Corn-notill,
IndianPines_PCA_30_mou,64.789144865287,0.5953701722436795,IndianPines,PCA,30.0,mou,Corn-notill,
IndianPines_PCA_30_hamida,97.18859820382664,0.9680350378228194,IndianPines,PCA,30.0,hamida,Corn-notill,
IndianPines_PCA_30_li,75.40999609527529,0.7175853724210614,IndianPines,PCA,30.0,li,Corn-notill,
IndianPines_PCA_30_paoletti,64.50605232331121,0.5890760454670927,IndianPines,PCA,30.0,paoletti,Corn-notill,
IndianPines_FastICA_8_mou,88.80320187426787,0.8727241357481775,IndianPines,FastICA,8.0,mou,Corn-notill,
IndianPines_FastICA_8_hamida,96.8566966028895,0.9642573077941268,IndianPines,FastICA,8.0,hamida,Corn-notill,
